city,state,population,land_area_sq_mi,city_state,lat,lon,metro_population,msa_name,median_household_income,median_home_price,avg_temp_f,avg_temp_c,avg_high_f,avg_low_f,avg_summer_high_f,avg_winter_low_f,walkability_score,walkability_score_100,dist_airport_miles,nearest_airport,dist_zoo_miles,nearest_zoo,dist_theme_park_miles,nearest_theme_park,dist_natl_park_miles,nearest_natl_park,dist_natl_forest_miles,nearest_natl_forest,coastline_type,dist_coast_miles,elevation_ft,parks_within_100mi,nature_score,dist_state_park_miles,nearest_state_park,temp_range_f,has_winter,has_summer,has_spring_fall,seasons_count,seasons_score,nfl_teams,mlb_teams,nba_teams,nhl_teams,mls_teams,total_pro_teams,sports_score,environment_type
Little Rock,AR,204774,120.0,"Little Rock, AR",34.746507,-92.289627,769258.0,,58697.0,205800.0,63.3,17.4,72.2,54.5,89.6,36.3,8.73,40.7,3.9,Little Rock,2.4,Little Rock Zoo,8.4,Big Rock Mini Golf & Fun Park,45.6,Hot Springs NP,83.0,Ozark NF AR,none,353.6,335.0,3.0,29.5,381.5,DeSoto SP AL,53.3,False,True,True,2,50.0,0,0,0,0,0,0,0.0,plains
Amarillo,TX,203729,102.3,"Amarillo, TX",35.20729,-101.837119,274650.0,"Amarillo, TX MSA",60628.0,172700.0,60.4,15.8,71.7,49.2,90.1,30.2,10.72,51.2,7.5,Amarillo,39.4,Frank J Smith Bird Sanctuary,2.4,Wonderland Amusement Park,262.7,Carlsbad Caverns NP,224.1,Carson NF NM,none,573.4,3675.0,1.0,14.5,22.6,Palo Duro Canyon SP TX,59.9,True,True,True,4,100.0,0,0,0,0,0,0,0.0,plains
Overland Park,KS,202893,75.2,"Overland Park, KS",38.97425,-94.68517,,,100876.0,361800.0,56.6,13.7,65.2,48.0,86.4,25.8,8.61,40.1,22.4,Kansas City,8.8,Kansas City Zoo & Aquarium,13.9,Kansas City Renaissance Festival,244.1,Gateway Arch NP,212.4,Mark Twain NF MO,none,423.2,1063.0,0.0,0.0,337.9,Effigy Mounds IA,60.6,True,True,True,4,100.0,1,1,0,0,1,3,30.0,plains
Columbus,GA,201830,216.5,"Columbus, GA",32.461071,-84.988045,324343.0,"Columbus, GA-AL MSA",54561.0,168400.0,66.7,19.3,76.1,57.3,90.3,42.5,9.16,42.9,87.6,Hartsfield-Jackson Atlanta,5.4,Oxbow Meadows Environmental Learning Center,51.4,Global Village Discovery Center,233.6,Great Smoky Mountains NP,82.5,Talladega NF AL,none,190.3,246.0,1.0,10.5,103.0,Stone Mountain SP GA,47.8,False,True,True,2,50.0,0,0,0,0,0,0,0.0,lowlands
Augusta,GA,201737,302.3,"Augusta, GA",33.470971,-81.974843,636760.0,"Augusta-Richmond County, GA-SC MSA",,,66.1,18.9,75.5,56.6,90.6,41.5,6.5,28.9,99.2,Greenville-Spartanburg,43.5,Eudora Wildlife Safari Park,63.3,Frankie's Fun Park,72.3,Congaree NP,70.9,Sumter NF SC,none,128.9,144.0,2.0,22.0,130.3,Stone Mountain SP GA,49.1,False,True,True,2,50.0,1,1,1,0,1,4,40.0,lowlands
Mobile,AL,201367,139.5,"Mobile, AL",30.691346,-88.043751,412339.0,"Mobile, AL MSA",48524.0,158400.0,69.0,20.6,76.3,61.7,88.2,47.5,6.93,31.2,140.8,New Orleans,33.9,Alabama Gulf Coast Zoo,31.7,OWA,393.2,Hot Springs NP,196.5,Apalachicola NF FL,ocean,43.0,20.0,1.0,17.5,43.0,Gulf State Park AL,40.7,False,True,True,2,50.0,0,0,0,0,0,0,0.0,coastal
Oxnard,CA,200616,26.5,"Oxnard, CA",34.197631,-119.180381,835427.0,,90409.0,587200.0,61.9,16.6,68.9,54.8,73.3,48.2,11.69,56.3,47.1,Burbank Hollywood,20.8,America's Teaching Zoo,4.5,Golf 'N' Stuff,36.7,Channel Islands NP,67.9,Angeles NF CA,ocean,41.3,59.0,2.0,39.0,140.6,Torrey Pines SP CA,25.1,False,False,False,1,25.0,2,2,2,1,2,9,90.0,coastal
Grand Rapids,MI,200117,44.8,"Grand Rapids, MI",42.963242,-85.667864,1178826.0,,61634.0,203900.0,49.4,9.7,57.4,41.5,79.8,21.1,8.49,39.4,9.3,Grand Rapids,1.9,John Ball Zoo,7.2,Craigs Cruisers,114.9,Indiana Dunes NP,72.1,Huron Manistee NF MI,great_lakes,35.9,666.0,1.0,28.5,119.3,Indiana Dunes SP IN,58.7,True,True,True,4,100.0,0,0,0,0,0,0,0.0,great_lakes
Peoria,AZ,199924,176.1,"Peoria, AZ",33.580612,-112.237294,,,86759.0,383600.0,74.1,23.4,86.0,62.2,104.1,44.0,8.87,41.4,16.5,Phoenix Sky Harbor,10.3,Children's Petting Zoo,4.6,Mattel Adventure Park,114.4,Saguaro NP,65.1,Prescott NF AZ,none,294.0,1142.0,2.0,15.0,238.6,Valley of Fire SP NV,60.1,False,True,True,2,50.0,0,1,1,0,0,2,20.0,desert
Vancouver,WA,198992,48.7,"Vancouver, WA",45.630695,-122.674456,,,73626.0,403400.0,54.4,12.4,62.7,46.0,80.5,35.6,12.75,61.8,4.8,Portland,4.5,The Belmont Goats,11.0,Oaks Amusement Park,97.5,Mount Rainier NP,48.2,Mt Hood NF OR,none,64.9,98.0,4.0,38.0,33.0,Columbia River Gorge OR,44.9,False,True,True,2,50.0,0,0,1,0,1,2,20.0,valley
